02:00:30.80 | INFO | utils.core.telegram:pars_sessions:56 | Searched sessions: 11.
02:01:15.06 | INFO | utils.core.telegram:pars_sessions:56 | Searched sessions: 11.
02:01:15.07 | SUCCESS | utils.core.telegram:get_accounts:106 | Search available accounts: 11.
02:01:15.07 | INFO | utils.core.telegram:check_valid_accounts:85 | Checking accounts for valid...
02:01:47.44 | SUCCESS | utils.core.telegram:check_valid_accounts:95 | Valid accounts: 10; Invalid: 1
02:01:47.45 | INFO | utils.core.telegram:get_accounts:112 | Saved 1 invalid account(s) in sessions/invalid_accounts.txt
02:02:03.78 | SUCCESS | utils.starter:stats:97 | Сохранена статистика в statistics/statistics_2024-09-12-02-02-03.csv
02:02:24.56 | INFO | utils.core.telegram:pars_sessions:56 | Searched sessions: 11.
02:02:24.56 | SUCCESS | utils.core.telegram:get_accounts:106 | Search available accounts: 11.
02:02:24.56 | INFO | utils.core.telegram:check_valid_accounts:85 | Checking accounts for valid...
02:02:56.93 | SUCCESS | utils.core.telegram:check_valid_accounts:95 | Valid accounts: 10; Invalid: 1
02:02:56.93 | INFO | utils.core.telegram:get_accounts:112 | Saved 1 invalid account(s) in sessions/invalid_accounts.txt
02:03:06.95 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Ежедневные награды» и получено 500 очков
02:04:26.42 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Играйте в Wat Racer и получайте доход» и получено 1000 очков
02:04:26.49 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Подпишитесь на BUMP в Twitter (X)» и получено 1000 очков
02:04:27.11 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Присоединяйтесь к сообществу WatBird» и получено 1000 очков
02:04:27.38 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Скачайте приложение BUMP» и получено 1000 очков
02:04:27.60 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Подпишитесь на BUMP в Twitter (X)» и получено 1000 очков
02:04:27.61 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Играйте в Wat Racer и получайте доход» и получено 1000 очков
02:04:27.65 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Подпишитесь на BUMP в Twitter (X)» и получено 1000 очков
02:04:28.15 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Играйте в Wat Racer и получайте доход» и получено 1000 очков
02:04:29.07 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Играйте в Wat Racer и получайте доход» и получено 1000 очков
02:04:29.11 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Узнайте больше и получите $VERT» и получено 1000 очков
02:04:29.39 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Присоединяйтесь к сообществу WatBird» и получено 1000 очков
02:04:29.75 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Играйте в Wat Racer и получайте доход» и получено 1000 очков
02:04:29.92 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Играйте в Wat Racer и получайте доход» и получено 1000 очков
02:04:30.32 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Подпишитесь на Bump в Telegram» и получено 1000 очков
02:04:30.33 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Присоединяйтесь к сообществу WatBird» и получено 1000 очков
02:04:30.60 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Присоединяйтесь к сообществу WatBird» и получено 1000 очков
02:04:30.90 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Узнайте больше и получите $VERT» и получено 1000 очков
02:04:31.03 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Узнайте больше и получите $VERT» и получено 1000 очков
02:04:31.87 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Узнайте больше и получите $VERT» и получено 1000 очков
02:04:32.33 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Подпишитесь на Vertus в Telegram» и получено 1000 очков
02:04:32.49 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Играйте в Wat Racer и получайте доход» и получено 1000 очков
02:04:32.70 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Узнайте больше и получите $VERT» и получено 1000 очков
02:04:32.87 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Узнайте больше и получите $VERT» и получено 1000 очков
02:04:32.96 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Играйте в Wat Racer и получайте доход» и получено 1000 очков
02:04:33.32 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Подпишитесь на Vertus в Telegram» и получено 1000 очков
02:04:33.55 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Играйте в Wat Racer и получайте доход» и получено 1000 очков
02:04:33.55 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Подпишитесь на BUMP в Twitter (X)» и получено 1000 очков
02:04:34.29 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Подпишитесь на Vertus в Telegram» и получено 1000 очков
02:04:34.86 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Подпишитесь на Vertus в Telegram» и получено 1000 очков
02:04:34.99 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Подпишитесь на Nomis» и получено 1000 очков
02:04:35.51 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Узнайте больше и получите $VERT» и получено 1000 очков
02:04:35.58 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Подпишитесь на Vertus в Telegram» и получено 1000 очков
02:04:35.70 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Узнайте больше и получите $VERT» и получено 1000 очков
02:04:35.71 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Подпишитесь на Vertus в Telegram» и получено 1000 очков
02:04:36.24 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Присоединяйтесь к сообществу WatBird» и получено 1000 очков
02:04:36.46 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Узнайте больше и получите $VERT» и получено 1000 очков
02:04:36.57 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Подпишитесь на Nomis» и получено 1000 очков
02:04:37.46 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Подпишитесь на Nomis» и получено 1000 очков
02:04:37.68 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Подпишитесь на Nomis» и получено 1000 очков
02:04:37.90 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Создайте репутационные баллы TON» и получено 1000 очков
02:04:38.37 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Подпишитесь на Vertus в Telegram» и получено 1000 очков
02:04:38.58 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Подпишитесь на Vertus в Telegram» и получено 1000 очков
02:04:38.64 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Подпишитесь на Nomis» и получено 1000 очков
02:04:38.81 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Подпишитесь на Nomis» и получено 1000 очков
02:04:39.44 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Подпишитесь на Vertus в Telegram» и получено 1000 очков
02:04:39.57 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Играйте в Wat Racer и получайте доход» и получено 1000 очков
02:04:39.80 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Создайте репутационные баллы TON» и получено 1000 очков
02:04:40.37 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Играйте в Simple Coin» и получено 1000 очков
02:04:40.50 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Создайте репутационные баллы TON» и получено 1000 очков
02:04:40.52 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Создайте репутационные баллы TON» и получено 1000 очков
02:04:41.03 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Подпишитесь на Nomis» и получено 1000 очков
02:04:41.24 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Создайте репутационные баллы TON» и получено 1000 очков
02:04:41.25 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Подпишитесь на Nomis» и получено 1000 очков
02:04:41.33 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Создайте репутационные баллы TON» и получено 1000 очков
02:04:42.43 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Подпишитесь на Nomis» и получено 1000 очков
02:04:42.52 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Узнайте больше и получите $VERT» и получено 1000 очков
02:04:42.69 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Играйте в Simple Coin» и получено 1000 очков
02:04:42.79 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Приложение GOATS» и получено 1000 очков
02:04:42.88 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Играйте в Simple Coin» и получено 1000 очков
02:04:43.30 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Играйте в Simple Coin» и получено 1000 очков
02:04:43.64 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Играйте в Simple Coin» и получено 1000 очков
02:04:43.67 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Создайте репутационные баллы TON» и получено 1000 очков
02:04:44.14 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Создайте репутационные баллы TON» и получено 1000 очков
02:04:44.60 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Играйте в Simple Coin» и получено 1000 очков
02:04:45.20 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Подпишитесь на Vertus в Telegram» и получено 1000 очков
02:04:45.20 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Приложение GOATS» и получено 1000 очков
02:04:45.35 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Приложение GOATS» и получено 1000 очков
02:04:45.46 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Создайте репутационные баллы TON» и получено 1000 очков
02:04:45.99 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Присоединитесь к каналу GOATS» и получено 1000 очков
02:04:46.07 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Играйте в Simple Coin» и получено 1000 очков
02:04:46.24 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Приложение GOATS» и получено 1000 очков
02:04:46.40 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Приложение GOATS» и получено 1000 очков
02:04:47.31 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Играйте в Simple Coin» и получено 1000 очков
02:04:47.44 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Приложение GOATS» и получено 1000 очков
02:04:48.17 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Подпишитесь на Nomis» и получено 1000 очков
02:04:48.33 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Играйте в Simple Coin» и получено 1000 очков
02:04:48.34 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Присоединитесь к каналу GOATS» и получено 1000 очков
02:04:48.43 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Играйте в Tomarket» и получено 1000 очков
02:04:48.72 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Присоединитесь к каналу GOATS» и получено 1000 очков
02:04:48.92 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Присоединитесь к каналу GOATS» и получено 1000 очков
02:04:49.26 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Приложение GOATS» и получено 1000 очков
02:04:49.52 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Присоединитесь к каналу GOATS» и получено 1000 очков
02:04:50.42 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Присоединитесь к каналу GOATS» и получено 1000 очков
02:04:50.57 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Приложение GOATS» и получено 1000 очков
02:04:50.66 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Создайте репутационные баллы TON» и получено 1000 очков
02:04:50.71 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Подписывайтесь на канал Tomarket» и получено 1000 очков
02:04:51.36 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Играйте в Tomarket» и получено 1000 очков
02:04:51.40 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Приложение GOATS» и получено 1000 очков
02:04:51.53 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Играйте в Tomarket» и получено 1000 очков
02:04:51.86 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Играйте в Tomarket» и получено 1000 очков
02:04:52.11 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Присоединитесь к каналу GOATS» и получено 1000 очков
02:04:52.23 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Играйте в Tomarket» и получено 1000 очков
02:04:53.15 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Играйте в Tomarket» и получено 1000 очков
02:04:53.32 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Играйте в Simple Coin» и получено 1000 очков
02:04:53.50 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Присоединитесь к каналу GOATS» и получено 1000 очков
02:04:53.87 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Попробуйте мини-приложение DuckCoop» и получено 1000 очков
02:04:53.94 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Подписывайтесь на канал Tomarket» и получено 1000 очков
02:04:54.13 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Присоединитесь к каналу GOATS» и получено 1000 очков
02:04:54.21 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Подписывайтесь на канал Tomarket» и получено 1000 очков
02:04:54.68 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Подписывайтесь на канал Tomarket» и получено 1000 очков
02:04:54.68 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Играйте в Tomarket» и получено 1000 очков
02:04:54.95 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Подписывайтесь на канал Tomarket» и получено 1000 очков
02:04:55.97 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Подписывайтесь на канал Tomarket» и получено 1000 очков
02:04:56.11 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Играйте в Tomarket» и получено 1000 очков
02:04:56.28 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Попробуйте мини-приложение DuckCoop» и получено 1000 очков
02:04:56.54 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Вступайте в Telegram-канал DuckCoop» и получено 1000 очков
02:04:56.66 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Приложение GOATS» и получено 1000 очков
02:04:56.87 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Играйте в Tomarket» и получено 1000 очков
02:04:56.93 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Попробуйте мини-приложение DuckCoop» и получено 1000 очков
02:04:57.67 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Попробуйте мини-приложение DuckCoop» и получено 1000 очков
02:04:57.67 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Подписывайтесь на канал Tomarket» и получено 1000 очков
02:04:58.07 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Попробуйте мини-приложение DuckCoop» и получено 1000 очков
02:04:58.82 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Вступайте в Telegram-канал DuckCoop» и получено 1000 очков
02:04:58.97 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Подпишитесь на DuckCoop в X» и получено 1000 очков
02:04:59.15 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Подписывайтесь на канал Tomarket» и получено 1000 очков
02:04:59.24 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Попробуйте мини-приложение DuckCoop» и получено 1000 очков
02:04:59.47 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Вступайте в Telegram-канал DuckCoop» и получено 1000 очков
02:04:59.60 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Подписывайтесь на канал Tomarket» и получено 1000 очков
02:04:59.97 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Присоединитесь к каналу GOATS» и получено 1000 очков
02:05:00.54 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Вступайте в Telegram-канал DuckCoop» и получено 1000 очков
02:05:00.65 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Вступайте в Telegram-канал DuckCoop» и получено 1000 очков
02:05:00.69 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Попробуйте мини-приложение DuckCoop» и получено 1000 очков
02:05:01.80 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Подпишитесь на DuckCoop в X» и получено 1000 очков
02:05:01.87 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Играйте в Cat Gold Miner» и получено 1000 очков
02:05:01.94 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Вступайте в Telegram-канал DuckCoop» и получено 1000 очков
02:05:01.95 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Попробуйте мини-приложение DuckCoop» и получено 1000 очков
02:05:02.06 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Попробуйте мини-приложение DuckCoop» и получено 1000 очков
02:05:02.20 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Подпишитесь на DuckCoop в X» и получено 1000 очков
02:05:02.36 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Играйте в Tomarket» и получено 1000 очков
02:05:03.07 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Подпишитесь на DuckCoop в X» и получено 1000 очков
02:05:03.65 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Подпишитесь на DuckCoop в X» и получено 1000 очков
02:05:03.90 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Вступайте в Telegram-канал DuckCoop» и получено 1000 очков
02:05:04.66 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Присоединяйтесь к Telegram-каналу Cat Gold Miner!» и получено 1000 очков
02:05:04.90 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Играйте в Cat Gold Miner» и получено 1000 очков
02:05:05.01 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Подпишитесь на DuckCoop в X» и получено 1000 очков
02:05:05.19 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Вступайте в Telegram-канал DuckCoop» и получено 1000 очков
02:05:05.27 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Вступайте в Telegram-канал DuckCoop» и получено 1000 очков
02:05:05.31 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Играйте в Cat Gold Miner» и получено 1000 очков
02:05:05.65 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Подписывайтесь на канал Tomarket» и получено 1000 очков
02:05:06.08 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Играйте в Cat Gold Miner» и получено 1000 очков
02:05:06.21 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Подпишитесь на DuckCoop в X» и получено 1000 очков
02:05:07.00 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Играйте в Cat Gold Miner» и получено 1000 очков
02:05:07.01 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Участвуйте в промоакции приложения Clayton» и получено 1000 очков
02:05:07.56 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Играйте в Cat Gold Miner» и получено 1000 очков
02:05:07.67 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Подпишитесь на DuckCoop в X» и получено 1000 очков
02:05:07.78 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Присоединяйтесь к Telegram-каналу Cat Gold Miner!» и получено 1000 очков
02:05:07.93 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Присоединяйтесь к Telegram-каналу Cat Gold Miner!» и получено 1000 очков
02:05:08.65 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Подпишитесь на DuckCoop в X» и получено 1000 очков
02:05:08.80 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Присоединяйтесь к Telegram-каналу Cat Gold Miner!» и получено 1000 очков
02:05:08.92 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Попробуйте мини-приложение DuckCoop» и получено 1000 очков
02:05:09.13 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Играйте в Cat Gold Miner» и получено 1000 очков
02:05:09.66 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Присоединяйтесь к сообществу Clayton» и получено 1000 очков
02:05:10.13 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Присоединяйтесь к Telegram-каналу Cat Gold Miner!» и получено 1000 очков
02:05:10.29 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Присоединяйтесь к Telegram-каналу Cat Gold Miner!» и получено 1000 очков
02:05:10.37 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Участвуйте в промоакции приложения Clayton» и получено 1000 очков
02:05:10.64 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Участвуйте в промоакции приложения Clayton» и получено 1000 очков
02:05:10.80 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Играйте в Cat Gold Miner» и получено 1000 очков
02:05:11.46 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Играйте в Cat Gold Miner» и получено 1000 очков
02:05:11.92 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Вступайте в Telegram-канал DuckCoop» и получено 1000 очков
02:05:11.97 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Присоединяйтесь к Telegram-каналу Cat Gold Miner!» и получено 1000 очков
02:05:12.03 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Участвуйте в промоакции приложения Clayton» и получено 1000 очков
02:05:12.20 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Подпишитесь на Clayton в X» и получено 1000 очков
02:05:12.63 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Участвуйте в промоакции приложения Clayton» и получено 1000 очков
02:05:12.93 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Участвуйте в промоакции приложения Clayton» и получено 1000 очков
02:05:13.27 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Присоединяйтесь к сообществу Clayton» и получено 1000 очков
02:05:13.51 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Присоединяйтесь к сообществу Clayton» и получено 1000 очков
02:05:13.64 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Присоединяйтесь к Telegram-каналу Cat Gold Miner!» и получено 1000 очков
02:05:14.32 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Участвуйте в промоакции приложения Clayton» и получено 1000 очков
02:05:14.57 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Присоединяйтесь к Telegram-каналу Cat Gold Miner!» и получено 1000 очков
02:05:14.68 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Подпишитесь на DuckCoop в X» и получено 1000 очков
02:05:15.06 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Присоединяйтесь к сообществу Clayton» и получено 1000 очков
02:05:15.12 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Станьте охотником!» и получено 1000 очков
02:05:15.13 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Присоединяйтесь к сообществу Clayton» и получено 1000 очков
02:05:15.63 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Присоединяйтесь к сообществу Clayton» и получено 1000 очков
02:05:16.43 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Подпишитесь на Clayton в X» и получено 1000 очков
02:05:16.54 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Участвуйте в промоакции приложения Clayton» и получено 1000 очков
02:05:16.55 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Подпишитесь на Clayton в X» и получено 1000 очков
02:05:16.70 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Присоединяйтесь к сообществу Clayton» и получено 1000 очков
02:05:17.25 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Участвуйте в промоакции приложения Clayton» и получено 1000 очков
02:05:17.25 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Играйте в Cat Gold Miner» и получено 1000 очков
02:05:17.44 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Подпишитесь на Clayton в X» и получено 1000 очков
02:05:17.52 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Подпишитесь на Clayton в X» и получено 1000 очков
02:05:17.55 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Присоединяйтесь к Nasduck!» и получено 1000 очков
02:05:18.00 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Подпишитесь на Clayton в X» и получено 1000 очков
